Name,Drawing atop text [unclear],Text box  flow diagram [unclear],Text and paragraph formatting,Insert hyperlink [unclear],Insert image,Resize image,Insert table,Insert audio,Insert video,Insert SWF,Attachment [unclear],Other objects,Remarks / other features
IPython Notebook,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],Part of IPython shell; allows for programming code  output and annotation to be combined in single interactive environment
KeyNote NF,[empty],[empty],[empty],[empty],<ref group="Notes">As the RTF format stores pictures internally as bitmaps (.bmp)  this leads to large notebook files.</ref>,[empty],<ref group="Notes">Tables must be created in another program. After pasting the table into Keynote NF  one can edit the cells and add new rows  but changing the size of the columns and adding or removing columns is not possible. These operations can be done by pasting the table into another program (for example  MS Word).</ref>,[empty],[empty],[empty],[empty],OLE objects; "virtual nodes" which integrate and edit the content of external plain-text or rich-text files; internal links; mirror nodes.,Text processing; tree numbering and sorting; custom tree icons; node checkboxes; checkbox filtering; search filtering; reminder alarms; compressed or encrypted notebooks; auto-minimize and/or auto-lock when idle; quick access key for fast notes; additional scratchpad; autosave of up to 9 previous file versions; automatic clipboard capturing; read-only notebooks or notes; macros; templates; text shortcuts; plug-ins; bookmarks; custom keyboard shortcuts; program can be made portable through "Options" setting
Memonic,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft OneNote,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref group="Notes">Can also search in audio.</ref>,[empty],[empty],[empty],OLE  bullets  line  flags  formulas,No local storage of notebooks on Mac
MyInfo,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],OLE  bullets  numbering  page breaks  advanced links,Tags; filters; calendar; reminders
MyNotex,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],Activity lists; tags; notes management by subject; encryption with AES or GPG; multilingual
Notational Velocity,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],Instant open and searching
Okular,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Open-Sankoré,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],plug-ins  web pages  applications,Annotate live desktop applications and web pages; autosave; plug-in system; audio recording
Outline,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tags,Password protection  insert web pages  local storage  MS OneNote compatibility  text highlighting  bulleted and numbered lists  free placement of notes on a page
PDF Studio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Personal Knowbase,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Passwords; portable
Qiqqa,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PDF  brainstorm  citations,[empty]
TagSpaces,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Tags  plugins,Plugins  you can present your local images  videos and music to your TV via ChromeCast. You can create a personal "wiki" for tracking of your projects  ideas or memories.
Simplenote,[empty],[empty],[empty],[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
TiddlyWiki,[empty],(with plugin),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],HTML  LaTeX  markdown plugins,Plugins; user scripts
Tomboy,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Note Links  highlighting  fixed-width,Reminders; to do-lists; formulas in LaTeX
TreeDBNotes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WikidPad,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],personal wiki software
Microsoft Windows Journal,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zim,[empty],<ref>Using plugins</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Plugins; Versioning; LaTeX integration (formulas  export); HTML export (including slideshow); GNOME's Zeitgeist integration; Lilypond music sheet integration,ASCII diagram drawing; Tags; Tasks; Table of Content navigation; SQLite3 search indexing; Autosaving; Last cursor position memory; Tabbed multi-documents
Name,Drawing atop text,Text box  flow diagram,Text and paragraph formatting,Insert hyperlink,Insert image,Resize image,Insert table,Insert audio,Insert video,Insert SWF,Attachment,Other objects,Remarks / other features
